Timestamp,Motion Type,Position/Joints,Status
2026-02-15T18:30:26.458577,moveJ,"0.000000,-1.570796,1.570796,-1.570796,-1.570796,0.000000",success
2026-02-15T18:30:28.102128,moveL,"0.556262,0.315281,0.901036,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.118452,moveL,"0.556262,0.315281,0.801036,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.133494,moveL,"0.556262,0.315281,0.901036,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.148794,moveL,"0.400000,-0.200000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.165713,moveL,"0.400000,-0.200000,0.100000,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.182437,moveL,"0.400000,-0.200000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.198356,moveL,"0.551398,0.412869,0.932308,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.215245,moveL,"0.551398,0.412869,0.832308,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.231660,moveL,"0.551398,0.412869,0.932308,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.248601,moveL,"0.510000,-0.200000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.264037,moveL,"0.510000,-0.200000,0.100000,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.279129,moveL,"0.510000,-0.200000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.293629,moveL,"0.425407,0.334690,0.916050,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.308389,moveL,"0.425407,0.334690,0.816050,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.323541,moveL,"0.425407,0.334690,0.916050,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.339377,moveL,"0.400000,-0.090000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.356036,moveL,"0.400000,-0.090000,0.100000,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.368976,moveL,"0.400000,-0.090000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.381665,moveL,"0.605560,0.323599,0.900335,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.396244,moveL,"0.605560,0.323599,0.800335,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.412368,moveL,"0.605560,0.323599,0.900335,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.426426,moveL,"0.510000,-0.090000,0.200000,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.439143,moveL,"0.510000,-0.090000,0.100000,0.000000,3.141593,0.000000",success
2026-02-15T18:30:28.450638,moveL,"0.510000,-0.090000,0.200000,0.000000,3.141593,0.000000",success
